Customer Name,Employee Name,Route Name,State,Visit Day,acedns
INACTIV099,,GURGAON,,,N
INACTIV099,ASL1028,GURGAON,,,N
INACTIV1000,,AGRA,,,N
INACTIV1000,ASL1028,AGRA,,,N
INACTIV1001,,FIROZABAD,,,N
INACTIV1001,ASL1028,FIROZABAD,,,N
INACTIV1002,,AGRA,,,N
INACTIV1002,ASL1028,AGRA,,,N
INACTIV1003,,AGRA,,,N
INACTIV1003,ASL1028,AGRA,,,N
INACTIV1004,,AGRA,,,N
INACTIV1004,ASL1028,AGRA,,,N
INACTIV1005,,AGRA,,,N
INACTIV1005,ASL1028,AGRA,,,N
INACTIV1006,,FATEHABAD,,,N
INACTIV1006,ASL1028,FATEHABAD,,,N
INACTIV1007,,KANPUR,,,N
INACTIV1007,ASL1028,KANPUR,,,N
INACTIV1008,,Mathura,,,N
INACTIV1008,ASL1028,Mathura,,,N
INACTIV1009,,MAINPURI,,,N
INACTIV1009,ASL1028,MAINPURI,,,N
INACTIV1010,,HATHRAS,,,N
INACTIV1010,ASL1028,HATHRAS,,,N
INACTIV1011,,ETAH,,,N
INACTIV1011,ASL1028,ETAH,,,N
INACTIV1012,,AGRA,,,N
INACTIV1012,ASL1028,AGRA,,,N
INACTIV1013,,AGRA,,,N
INACTIV1013,ASL1028,AGRA,,,N
INACTIV1014,,AGRA,,,N
INACTIV1014,ASL1028,AGRA,,,N
INACTIV1015,,AGRA,,,N
INACTIV1015,ASL1028,AGRA,,,N
INACTIV1016,,AGRA,,,N
INACTIV1016,ASL1028,AGRA,,,N
INACTIV1017,,ETAWAH,,,N
INACTIV1017,ASL1028,ETAWAH,,,N
INACTIV1018,,Mathura,,,N
INACTIV1018,ASL1028,Mathura,,,N
INACTIV1019,,LUCKNOW,,,N
INACTIV1019,ASL1028,LUCKNOW,,,N
INACTIV1020,,LUCKNOW,,,N
INACTIV1020,ASL1028,LUCKNOW,,,N
INACTIV1021,,Mathura,,,N
INACTIV1021,ASL1028,Mathura,,,N
INACTIV1022,,JAGDISHPUR,,,N
INACTIV1022,ASL1028,JAGDISHPUR,,,N
INACTIV1023,,LUCKNOW,,,N
INACTIV1023,ASL1028,LUCKNOW,,,N
INACTIV1024,,AGRA,,,N
INACTIV1024,ASL1028,AGRA,,,N
INACTIV1025,,AGRA,,,N
INACTIV1025,ASL1028,AGRA,,,N
INACTIV1026,,AGRA,,,N
INACTIV1026,ASL1028,AGRA,,,N
INACTIV1027,,AGRA,,,N
INACTIV1027,ASL1028,AGRA,,,N
INACTIV1028,,ALIGARH,,,N
INACTIV1028,ASL1028,ALIGARH,,,N
INACTIV1029,,Meerut,,,N
INACTIV1029,ASL1028,Meerut,,,N
INACTIV1030,,JHANGIRABAD,,,N
INACTIV1030,ASL1028,JHANGIRABAD,,,N
INACTIV1031,,Meerut,,,N
INACTIV1031,ASL1028,Meerut,,,N
INACTIV1032,,BARAUT,,,N
INACTIV1032,ASL1028,BARAUT,,,N
INACTIV1033,,Meerut,,,N
INACTIV1033,ASL1028,Meerut,,,N
INACTIV1034,,BAREILLY,,,N
INACTIV1034,ASL1028,BAREILLY,,,N
INACTIV1035,,Meerut,,,N
INACTIV1035,ASL1028,Meerut,,,N
INACTIV1036,,GHAZIABAD,,,N
INACTIV1036,ASL1028,GHAZIABAD,,,N
INACTIV1037,,Meerut,,,N
INACTIV1037,ASL1028,Meerut,,,N
INACTIV1038,,GHAZIABAD,,,N
INACTIV1038,ASL1028,GHAZIABAD,,,N
INACTIV1039,,SHAMLI,,,N
INACTIV1039,ASL1028,SHAMLI,,,N
INACTIV104,,Ludhiana,,,N
INACTIV104,ASL1028,Ludhiana,,,N
INACTIV1040,,BAREILLY,,,N
INACTIV1040,ASL1028,BAREILLY,,,N
INACTIV1041,,SIYANA,,,N
INACTIV1041,ASL1028,SIYANA,,,N
INACTIV1042,,BIJNOR,,,N
INACTIV1042,ASL1028,BIJNOR,,,N
INACTIV1043,,Bulandshahr,,,N
INACTIV1043,ASL1028,Bulandshahr,,,N
INACTIV1044,,NAJIMABAD,,,N
INACTIV1044,ASL1028,NAJIMABAD,,,N
INACTIV1045,,Meerut,,,N
INACTIV1045,ASL1028,Meerut,,,N
INACTIV1046,,Meerut,,,N
INACTIV1046,ASL1028,Meerut,,,N
INACTIV1047,,Moradabad,,,N
INACTIV1047,ASL1028,Moradabad,,,N
INACTIV1048,,DADRI,,,N
INACTIV1048,ASL1028,DADRI,,,N
INACTIV1049,,DADRI,,,N
INACTIV1049,ASL1028,DADRI,,,N
INACTIV105,,Ludhiana,,,N
INACTIV105,ASL1028,Ludhiana,,,N
INACTIV1050,,KHURJA,,,N
INACTIV1050,ASL1028,KHURJA,,,N
INACTIV1051,,NANAUTA,,,N
INACTIV1051,ASL1028,NANAUTA,,,N
INACTIV1052,,GANGOH,,,N
INACTIV1052,ASL1028,GANGOH,,,N
INACTIV1053,,GHAZIABAD,,,N
INACTIV1053,ASL1028,GHAZIABAD,,,N
INACTIV1054,,Meerut,,,N
INACTIV1054,ASL1028,Meerut,,,N
INACTIV1055,,SAHARANPUR,,,N
INACTIV1055,ASL1028,SAHARANPUR,,,N
INACTIV1056,,Bulandshahr,,,N
INACTIV1056,ASL1028,Bulandshahr,,,N
INACTIV1057,,SAMBHAL,,,N
INACTIV1057,ASL1028,SAMBHAL,,,N
INACTIV1058,,GHAZIABAD,,,N
INACTIV1058,ASL1028,GHAZIABAD,,,N
INACTIV1059,,GHAZIABAD,,,N
INACTIV1059,ASL1028,GHAZIABAD,,,N
INACTIV1060,,SHAMLI,,,N
INACTIV1060,ASL1028,SHAMLI,,,N
INACTIV1061,,CHANDAUSI,,,N
INACTIV1061,ASL1028,CHANDAUSI,,,N
INACTIV1062,,KHATULI,,,N
INACTIV1062,ASL1028,KHATULI,,,N
INACTIV1063,,NAJIMABAD,,,N
INACTIV1063,ASL1028,NAJIMABAD,,,N
INACTIV1064,,MUZAFFAR NAGAR,,,N
INACTIV1064,ASL1028,MUZAFFAR NAGAR,,,N
INACTIV1065,,Meerut,,,N
INACTIV1065,ASL1028,Meerut,,,N
INACTIV1066,,BAREILLY,,,N
INACTIV1066,ASL1028,BAREILLY,,,N
INACTIV1067,,SAHARANPUR,,,N
INACTIV1067,ASL1028,SAHARANPUR,,,N
INACTIV1068,,KILLA,,,N
INACTIV1068,ASL1028,KILLA,,,N
INACTIV1069,,HARIDWAR,,,N
INACTIV1069,ASL1028,HARIDWAR,,,N
INACTIV1070,,Moradabad,,,N
INACTIV1070,ASL1028,Moradabad,,,N
INACTIV1071,,PILIBHIT,,,N
INACTIV1071,ASL1028,PILIBHIT,,,N
INACTIV1072,,KHATULI,,,N
INACTIV1072,ASL1028,KHATULI,,,N
INACTIV1073,,DHAMPUR,,,N
INACTIV1073,ASL1028,DHAMPUR,,,N
INACTIV1074,,KITHORE,,,N
INACTIV1074,ASL1028,KITHORE,,,N
INACTIV1075,,CHANDAUSI,,,N
INACTIV1075,ASL1028,CHANDAUSI,,,N
INACTIV1076,,SAHARANPUR,,,N
INACTIV1076,ASL1028,SAHARANPUR,,,N
INACTIV1077,,MAWANA,,,N
INACTIV1077,ASL1028,MAWANA,,,N
INACTIV1078,,JEWAR,,,N
INACTIV1078,ASL1028,JEWAR,,,N
INACTIV1079,,Meerut,,,N
INACTIV1079,ASL1028,Meerut,,,N
INACTIV1080,,SAHARANPUR,,,N
INACTIV1080,ASL1028,SAHARANPUR,,,N
INACTIV1081,,Meerut,,,N
INACTIV1081,ASL1028,Meerut,,,N
INACTIV1082,,DEOBAND,,,N
INACTIV1082,ASL1028,DEOBAND,,,N
INACTIV1083,,MAWANA,,,N
INACTIV1083,ASL1028,MAWANA,,,N
INACTIV1084,,BIJNOR,,,N
INACTIV1084,ASL1028,BIJNOR,,,N
INACTIV1085,,ANOOP SAHAR,,,N
INACTIV1085,ASL1028,ANOOP SAHAR,,,N
INACTIV1086,,HAPUR,,,N
INACTIV1086,ASL1028,HAPUR,,,N
INACTIV1087,,BIJNOR,,,N
INACTIV1087,ASL1028,BIJNOR,,,N
INACTIV1088,,Meerut,,,N
INACTIV1088,ASL1028,Meerut,,,N
INACTIV1089,,KHURJA,,,N
INACTIV1089,ASL1028,KHURJA,,,N
INACTIV1090,,PILAKUA,,,N
INACTIV1090,ASL1028,PILAKUA,,,N
INACTIV1091,,GHAZIABAD,,,N
INACTIV1091,ASL1028,GHAZIABAD,,,N
INACTIV1092,,MUZAFFAR NAGAR,,,N
INACTIV1092,ASL1028,MUZAFFAR NAGAR,,,N
INACTIV1093,,Bulandshahr,,,N
INACTIV1093,ASL1028,Bulandshahr,,,N
INACTIV1094,,Bulandshahr,,,N
INACTIV1094,ASL1028,Bulandshahr,,,N
INACTIV1095,,MODINAGAR,,,N
INACTIV1095,ASL1028,MODINAGAR,,,N
INACTIV1096,,NOIDA,,,N
INACTIV1096,ASL1028,NOIDA,,,N
INACTIV1097,,BAREILLY,,,N
INACTIV1097,ASL1028,BAREILLY,,,N
